                                   ALARM AND EVENTS REPORT ON DEMAND

Company                            Equinor
Location                           Sales Oil Skid

System                             20JX101
Description                        FPSO Bacalhau
Flow computer                      21JN102A

Start date/time                    06/05/26 00:00:00
End date/time                      06/05/26 06:30:20

Amount                             9
05/06/26 06:30:20                  'Print snapshot report' executed by administrator (2000)
05/06/26 06:30:06                  'Print configuration report' executed by administrator (2000)
05/06/26 06:30:00                  User administrator (Web: 10.0.1.51) has logged in
05/06/26 06:28:11                  Parameter Product 2 standard density override was changed from 855.6 to 853.7 by CommDrivers (10000)
05/06/26 06:28:10                  Parameter Product 1 standard density override was changed from 855.6 to 853.7 by CommDrivers (10000)
05/06/26 01:21:56                  User administrator (Web: 10.0.1.50) has been automatically logged off
05/06/26 01:20:56                  User administrator (Web: 10.0.1.50) has been automatically logged off
05/06/26 00:21:56                  User administrator (Web: 10.0.1.50) has logged in
05/06/26 00:20:55                  User administrator (Web: 10.0.1.50) has logged in

