                                   DAILY ALARMS AND EVENTS REPORT

Company                            Equinor
Location                           Sales Oil Skid

System                             20JX101
Description                        FPSO Bacalhau
Flow computer                      21JN101A

Start date/time                    05/05/26 00:00:00
End date/time                      06/05/26 00:00:00

Amount                             255
05/05/26 23:32:01                  Run 2 Flow rate alarm from Normal to Low Low [80]
05/05/26 23:26:00                  Run 2 Flow rate alarm from Low Low to Normal [80]
05/05/26 23:25:59                  Run 2 Flow rate alarm from Normal to Low Low [80]
05/05/26 23:25:58                  Run 2 Error pulses limit alarm changed from Alarm to (Unacked) Normal
05/05/26 23:25:49                  Run 2 BSW alarm from Normal to Low Low [0]
05/05/26 23:25:49                  Run 1 BSW alarm from Normal to Low Low [0]
05/05/26 23:25:40                  Run 2 BSW alarm from Low Low to Normal [0]
05/05/26 23:25:40                  Run 1 BSW alarm from Low Low to Normal [0]
05/05/26 23:24:38                  Run 2 Flow rate alarm from Low Low to Normal [80]
05/05/26 23:24:32                  Run 2 Error pulses limit alarm changed from Normal to Alarm
05/05/26 23:20:01                  System-time was changed from 05/05/2026 23:19:58.000 to 05/05/2026 23:20:01.000 by  (-1)
05/05/26 21:36:19                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/05/26 21:34:14                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/05/26 21:34:10                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/05/26 21:32:05                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/05/26 21:31:55                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/05/26 21:29:54                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/05/26 21:29:50                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/05/26 21:29:49                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/05/26 21:29:44                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/05/26 21:29:22                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/05/26 21:29:20                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/05/26 21:28:17                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/05/26 21:28:16                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/05/26 21:27:44                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/05/26 20:39:59                  Run 2 BSW alarm from Low Low to Normal [0]
05/05/26 20:39:59                  Run 1 BSW alarm from Low Low to Normal [0]
05/05/26 20:39:33                  Run 2 BSW alarm from Normal to Low Low [0]
05/05/26 20:39:33                  Run 1 BSW alarm from Normal to Low Low [0]
05/05/26 20:39:32                  Run 2 BSW alarm from Low Low to Normal [0]
05/05/26 20:39:32                  Run 1 BSW alarm from Low Low to Normal [0]
05/05/26 20:39:30                  Run 2 BSW alarm from Low Low to Normal [0]
