                                                          Hourly Report

   Meter ID        43FT0102                                    Period start                05/05/26 00:00:00
   Flow computer   21JN111                                     Period end                  06/05/26 00:00:00
   Company         Equinor
   Location        Flare Gas
   Meter Type      Ultrassonic Meter


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Flowtime
                   kPa(a)       deg C             kg/sm3       kg/m3       m3              m3              Kg              GJ              min
   01              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   02              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   03              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   04              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   05              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   06              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   07              109.050      23.37             0.8445       0.90        678.30          721.80          609.60          32.60           60.0
   08              114.370      24.84             0.8445       0.94        4032.10         4478.20         3781.70         201.80          60.0
   09              107.637      24.90             0.8445       0.88        1057.60         1105.10         933.20          49.80           60.0
   10              114.175      27.67             0.8445       0.93        2931.40         3219.30         2718.60         145.10          60.0
   11              101.741      29.64             0.8445       0.82        581.00          564.60          476.80          25.50           60.0
   12              102.444      32.33             0.8445       0.82        733.10          711.00          600.40          32.00           60.0
   13              108.138      33.62             0.8445       0.86        1939.70         1977.80         1670.20         89.10           60.0
   14              116.997      28.40             0.8445       0.95        6329.20         7107.30         6001.90         320.40          60.0
   15              114.710      26.19             0.8445       0.94        4063.60         4506.10         3805.30         203.10          60.0
   16              114.819      26.48             0.8445       0.94        4899.90         5432.90         4587.90         244.80          60.0
   17              112.527      27.06             0.8445       0.92        4547.50         4932.80         4165.60         222.30          60.0
   18              115.621      23.43             0.8445       0.95        15220.30        17172.10        14501.40        774.00          60.0
   19              116.377      24.02             0.8445       0.96        2015.40         2283.60         1928.50         102.90          60.0
   20              119.905      23.26             0.8445       0.99        3976.90         4655.50         3931.40         209.80          60.0
   21              101.380      24.59             0.8445       0.83        359.50          354.10          299.00          16.00           60.0
   22              101.253      24.82             0.8445       0.83        13.10           12.80           10.90           0.60            60.0
   23              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   24              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   DAILY                                                                   53378.60        59235.00        50022.40        2669.80         1440.0

