                                                          Hourly Report

   Meter ID        43FT0102                                    Period start                06/05/26 00:00:00
   Flow computer   21JN111                                     Period end                  07/05/26 00:00:00
   Company         Equinor
   Location        Flare Gas
   Meter Type      Ultrassonic Meter


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Flowtime
                   kPa(a)       deg C             kg/sm3       kg/m3       m3              m3              Kg              GJ              min
   01              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   02              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   03              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   04              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   05              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   06              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   07              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   08              100.849      25.52             0.8445       0.82        0.80            0.90            0.70            0.00            60.0
   09              100.892      25.91             0.8445       0.82        11.70           11.40           9.60            0.50            60.0
   10              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   11              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   12              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   13              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   14              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   15              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   16              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   17              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   18              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   19              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   20              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   21              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   22              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   23              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.0
   24              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            60.1
   DAILY                                                                   12.50           12.30           10.30           0.50            1440.1

