                                                          Hourly Report

   Meter ID        43FT0227                                    Period start                06/05/26 00:00:00
   Flow computer   21JN111                                     Period end                  07/05/26 00:00:00
   Company         Equinor
   Location        Flare Gas
   Meter Type      Ultrassonic Meter


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Flowtime
                   kPa(a)       deg C             kg/sm3       kg/m3       m3              m3              Kg              GJ              min
   01              101.909      24.60             1.3187       1.31        208.00          205.80          271.50          13.90           60.0
   02              101.887      24.85             1.3187       1.30        207.40          205.10          270.40          13.90           60.0
   03              101.869      25.12             1.3187       1.30        207.10          204.60          269.90          13.80           60.0
   04              101.845      25.26             1.3187       1.30        208.80          206.00          271.60          14.00           60.0
   05              101.848      25.29             1.3187       1.30        207.90          205.20          270.60          13.90           60.0
   06              101.869      25.18             1.3187       1.30        206.40          203.90          268.80          13.70           60.0
   07              101.908      25.08             1.3187       1.30        206.20          203.70          268.70          13.80           60.0
   08              101.885      25.21             1.3187       1.30        208.50          205.90          271.50          14.00           60.0
   09              101.737      26.57             1.3187       1.29        218.60          214.60          283.00          14.50           60.0
   10              101.836      30.25             1.3187       1.28        225.20          218.50          288.10          14.80           60.0
   11              101.879      31.61             1.3187       1.27        221.70          214.20          282.60          14.50           60.0
   12              101.819      34.05             1.3187       1.26        271.60          260.20          343.10          17.60           60.0
   13              101.722      35.73             1.3187       1.25        386.00          367.30          484.40          24.90           60.0
   14              101.788      34.70             1.3187       1.26        290.60          277.60          366.10          18.70           60.0
   15              101.762      32.78             1.3187       1.27        287.10          276.00          363.90          18.70           60.0
   16              101.751      31.44             1.3187       1.27        274.40          265.00          349.50          18.00           60.0
   17              101.721      30.72             1.3187       1.28        294.90          285.40          376.30          19.30           60.0
   18              101.740      28.98             1.3187       1.28        305.90          297.80          392.70          20.10           60.0
   19              101.773      27.15             1.3187       1.29        301.80          295.70          390.00          20.00           60.0
   20              101.820      26.13             1.3187       1.30        303.10          298.20          393.20          20.20           60.0
   21              101.830      25.59             1.3187       1.30        301.30          297.00          391.70          20.10           60.0
   22              101.802      25.32             1.3187       1.30        303.10          298.90          394.30          20.30           60.0
   23              101.747      25.21             1.3187       1.30        302.20          298.10          393.00          20.10           60.0
   24              101.713      25.19             1.3187       1.30        303.40          299.10          394.50          20.30           60.1
   DAILY                                                                   6251.20         6103.80         8049.40         413.10          1440.1

