                                                          Hourly Report

   Meter ID        20FT0244                                    Period start                01/05/26 00:00:00
   Flow computer   21JN112                                     Period end                  02/05/26 00:00:00
   Company         Equinor
   Location        Tot. Fuel Gas & Test Sep. Gas & Gas Lift
   Meter Type      Orifice                                     Orifice Diameter            173.670


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Diff. Press.    Flowtime
                   kPa(g)       deg C             kg/sm3       kg/m3       m3              m3              t               GJ              kPa             min
   01              8640.915     56.42             0.8262       74.48       354.30          31935.50        26384.80        1410.50         1.404           60.0
   02              8587.912     56.19             0.8262       74.05       252.90          22667.10        18727.40        1001.20         1.045           54.0
   03              -101.325     0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   04              -101.325     0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   05              8684.584     55.19             0.8262       75.40       13.00           1183.40         977.80          52.20           0.153           6.7
   06              8666.654     35.52             0.8262       84.85       212.30          21812.30        18021.10        963.40          0.847           53.0
   07              8574.633     28.01             0.8262       88.05       208.30          22200.20        18341.60        980.60          0.586           60.0
   08              8649.668     35.01             0.8262       84.76       224.70          23046.80        19041.10        1017.90         0.665           60.0
   09              8638.376     40.23             0.8262       81.78       330.00          32667.30        26989.50        1442.80         1.350           60.0
   10              8634.375     43.60             0.8262       80.06       343.10          33244.40        27466.30        1468.40         1.416           60.0
   11              8593.341     46.91             0.8262       78.06       361.40          34148.40        28213.10        1508.20         1.570           60.0
   12              8813.461     49.95             0.8262       78.94       348.30          33278.30        27494.20        1469.90         1.458           60.0
   13              8829.160     50.97             0.8262       78.64       368.80          35105.50        29003.90        1550.50         1.769           60.0
   14              8877.657     52.77             0.8262       78.33       417.40          39570.00        32692.50        1747.70         2.136           60.0
   15              8797.038     53.97             0.8262       77.01       438.20          40851.50        33751.20        1804.30         2.307           60.0
   16              8319.222     55.01             0.8262       71.90       570.00          49607.70        40985.50        2191.10         3.754           60.0
   17              8376.305     58.19             0.8262       71.24       698.20          60198.60        49735.60        2658.80         5.378           60.0
   18              8902.201     59.87             0.8262       75.61       452.40          41400.40        34204.70        1828.60         2.749           60.0
   19              8932.823     58.96             0.8262       76.26       355.70          32829.90        27123.80        1450.00         1.457           60.0
   20              8931.108     57.74             0.8262       76.75       352.30          32725.40        27037.50        1445.40         1.429           60.0
   21              8884.181     56.28             0.8262       76.89       347.90          32381.00        26752.90        1430.20         1.411           60.0
   22              8933.008     55.51             0.8262       77.70       346.00          32542.50        26886.40        1437.40         1.404           60.0
   23              8943.521     55.34             0.8262       77.87       406.10          38275.50        31622.80        1690.50         2.087           60.0
   24              8731.890     57.52             0.8262       74.92       739.30          67036.10        55384.80        2960.80         7.845           60.0
   DAILY                                                                   8140.60         758707.80       626838.50       33510.40                        1253.7

