                                   ALARMS AND EVENTS REPORT

Company                            Equinor
Location                           Tot. Fuel Gas & Test Sep. Gas & Gas Lift

System                             21JN112
Description                        FPSO Bacalhau
Flow computer                      21JN112

Start date/time                    01/05/26 00:00:00
End date/time                      02/05/26 00:00:00

Active at end                      5
04/28/26 16:14:15                  Run 1 Volume flow rate lo lo alm
04/28/26 16:12:47                  Run 1 Heating value calc out of range
02/06/26 10:28:37                  Run 3 Volume flow rate lo lo alm
05/01/26 23:12:12                  Run 2 Meter pressure hi hi alm
05/01/26 22:23:45                  Run 2 Volume flow rate lo lo alm

Events                             73
05/01/26 23:20:01                  System-time was changed from 01/05/2026 23:20:03.500 to 01/05/2026 23:20:01.000 by  (-1)
05/01/26 23:16:47                  Run 2 Pressure alarm from High High to Normal [9000]
05/01/26 23:12:12                  Run 2 Pressure alarm from Normal to High High [9000]
05/01/26 23:09:57                  Run 2 Pressure alarm from High High to Normal [9000]
05/01/26 23:09:20                  Run 2 Pressure alarm from Normal to High High [9000]
05/01/26 23:03:29                  Run 2 Pressure alarm from High High to Normal [9000]
05/01/26 23:01:03                  Run 2 Pressure alarm from Normal to High High [9000]
05/01/26 22:59:51                  Run 2 Pressure alarm from High High to Normal [9000]
05/01/26 22:55:20                  Run 2 Pressure alarm from Normal to High High [9000]
05/01/26 22:45:25                  Run 2 Pressure alarm from High High to Normal [9000]
05/01/26 22:44:22                  Run 2 Pressure alarm from Normal to High High [9000]
05/01/26 22:42:20                  Run 2 Pressure alarm from High High to Normal [9000]
05/01/26 22:39:26                  Run 2 Pressure alarm from Normal to High High [9000]
05/01/26 22:24:39                  Run 2 Pressure alarm from High High to Normal [9000]
05/01/26 22:23:31                  Run 2 Pressure alarm from Normal to High High [9000]
05/01/26 22:22:19                  Run 2 Pressure alarm from High High to Normal [9000]
05/01/26 22:21:16                  Run 2 Pressure alarm from Normal to High High [9000]
05/01/26 22:20:55                  Run 2 Pressure alarm from High High to Normal [9000]
05/01/26 22:20:22                  Run 2 Pressure alarm from Normal to High High [9000]
05/01/26 22:19:53                  Run 2 Pressure alarm from High High to Normal [9000]
05/01/26 22:18:32                  Run 2 Pressure alarm from Normal to High High [9000]
05/01/26 22:17:51                  Run 2 Pressure alarm from High High to Normal [9000]
05/01/26 22:16:41                  Run 2 Pressure alarm from Normal to High High [9000]
05/01/26 22:16:04                  Run 2 Pressure alarm from High High to Normal [9000]
05/01/26 22:14:46                  Run 2 Pressure alarm from Normal to High High [9000]
05/01/26 22:14:07                  Run 2 Pressure alarm from High High to Normal [9000]
