                                   ALARM AND EVENTS REPORT ON DEMAND

Company                            Equinor
Location                           Sales Oil Skid

System                             20JX101
Description                        FPSO Bacalhau
Flow computer                      21JN101A

Start date/time                    01/05/26 00:00:00
End date/time                      01/05/26 06:36:32

Amount                             82
05/01/26 06:36:32                  'Print snapshot report' executed by administrator (2000)
05/01/26 06:36:18                  'Print configuration report' executed by administrator (2000)
05/01/26 06:36:13                  User administrator (Web: 10.0.1.51) has logged in
05/01/26 06:33:38                  Parameter Product 2 standard density override was changed from 853.9 to 852.7 by CommDrivers (10000)
05/01/26 06:33:37                  Parameter Product 1 standard density override was changed from 853.9 to 852.7 by CommDrivers (10000)
05/01/26 05:57:36                  Run 2 BSW alarm from Low Low to Normal [0]
05/01/26 05:57:36                  Run 1 BSW alarm from Low Low to Normal [0]
05/01/26 05:57:35                  Run 2 BSW alarm from Normal to Low Low [0]
05/01/26 05:57:35                  Run 1 BSW alarm from Normal to Low Low [0]
05/01/26 05:57:26                  Run 2 BSW alarm from Low Low to Normal [0]
05/01/26 05:57:26                  Run 1 BSW alarm from Low Low to Normal [0]
05/01/26 05:57:25                  Run 2 BSW alarm from Normal to Low Low [0]
05/01/26 05:57:25                  Run 1 BSW alarm from Normal to Low Low [0]
05/01/26 05:57:10                  Run 2 BSW alarm from Normal to Low Low [0]
05/01/26 05:57:10                  Run 1 BSW alarm from Normal to Low Low [0]
05/01/26 05:57:01                  Run 2 BSW alarm from Low Low to Normal [0]
05/01/26 05:57:01                  Run 1 BSW alarm from Low Low to Normal [0]
05/01/26 05:56:26                  Run 2 BSW alarm from Normal to Low Low [0]
05/01/26 05:56:26                  Run 1 BSW alarm from Normal to Low Low [0]
05/01/26 05:56:25                  Run 2 BSW alarm from Low Low to Normal [0]
05/01/26 05:56:25                  Run 1 BSW alarm from Low Low to Normal [0]
05/01/26 05:56:23                  Run 2 BSW alarm from Low Low to Normal [0]
05/01/26 05:56:23                  Run 1 BSW alarm from Low Low to Normal [0]
05/01/26 05:56:21                  Run 2 BSW alarm from Normal to Low Low [0]
05/01/26 05:56:21                  Run 1 BSW alarm from Normal to Low Low [0]
05/01/26 05:56:20                  Run 2 BSW alarm from Low Low to Normal [0]
05/01/26 05:56:20                  Run 1 BSW alarm from Low Low to Normal [0]
05/01/26 04:27:02                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 04:27:00                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 04:26:59                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 04:26:58                  Run 1 Flow rate alarm from Low Low to Normal [107.75]
05/01/26 04:26:57                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 04:26:55                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
