                                   DAILY ALARMS AND EVENTS REPORT

Company                            Equinor
Location                           Sales Oil Skid

System                             20JX101
Description                        FPSO Bacalhau
Flow computer                      21JN101A

Start date/time                    01/05/26 00:00:00
End date/time                      02/05/26 00:00:00

Amount                             367
05/01/26 18:36:54                  Run 1 Flow rate alarm from Low Low to Normal [107.75]
05/01/26 18:36:53                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 18:36:51                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 18:36:11                  Run 1 Flow rate alarm from Low Low to Normal [107.75]
05/01/26 18:35:23                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 18:34:45                  Run 1 Flow rate alarm from Low Low to Normal [107.75]
05/01/26 18:34:28                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 18:34:12                  Run 1 Flow rate alarm from Low Low to Normal [107.75]
05/01/26 18:33:21                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 18:33:20                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 18:33:18                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 18:33:16                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 18:33:15                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 18:33:14                  Run 1 Flow rate alarm from Low Low to Normal [107.75]
05/01/26 18:33:13                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 18:33:11                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 18:33:10                  Run 1 Flow rate alarm from Low Low to Normal [107.75]
05/01/26 18:32:41                  Run 1 Flow rate alarm from Low Low to Normal [107.75]
05/01/26 18:32:40                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 18:32:14                  Run 1 Flow rate alarm from Low Low to Normal [107.75]
05/01/26 18:31:53                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 18:31:51                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 18:31:38                  Run 2 BSW alarm from Low Low to Normal [0]
05/01/26 18:31:38                  Run 1 BSW alarm from Low Low to Normal [0]
05/01/26 18:31:32                  Run 2 BSW alarm from Low Low to Normal [0]
05/01/26 18:31:32                  Run 1 BSW alarm from Low Low to Normal [0]
05/01/26 18:31:16                  Run 1 Flow rate alarm from Low Low to Normal [107.75]
05/01/26 18:31:08                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 18:10:40                  Run 1 Flow rate alarm from Low Low to Normal [107.75]
05/01/26 17:55:21                  Run 1 Flow rate alarm from Normal to Low Low [107.75]
05/01/26 17:54:49                  Run 1 Flow rate alarm from Low Low to Normal [107.75]
