                                   ALARMS AND EVENTS REPORT

Company                            Equinor
Location                           Tot. Fuel Gas & Test Sep. Gas & Gas Lift

System                             21JN112
Description                        FPSO Bacalhau
Flow computer                      21JN112

Start date/time                    16/04/26 00:00:00
End date/time                      17/04/26 00:00:00

Active at end                      5
04/16/26 14:55:48                  Run 1 Meter temperature A input high fail
04/16/26 14:55:48                  Run 1 Meter temperature A input high fail
04/11/26 10:36:03                  Run 1 Heating value calc out of range
02/06/26 10:28:37                  Run 3 Volume flow rate lo lo alm
04/16/26 23:59:58                  Run 2 Volume flow rate lo lo alm

Events                             117
04/16/26 23:20:00                  System-time was changed from 16/04/2026 23:19:57.000 to 16/04/2026 23:20:00.000 by  (-1)
04/16/26 16:47:16                  User administrator (Web: 10.0.1.51) has been automatically logged off
04/16/26 15:47:16                  Run 1 Differential pressure keypad changed from (Acked) Alarm to Normal
04/16/26 15:47:16                  Parameter Run 1 Differential pressure override was changed from Enabled to Disabled by administrator (2000)
04/16/26 15:47:10                  Run 1 Meter pressure keypad changed from (Acked) Alarm to Normal
04/16/26 15:47:09                  Parameter Run 1 Meter pressure override was changed from Enabled to Disabled by CommDrivers (10000)
04/16/26 15:47:04                  Run 1 Meter temperature keypad changed from (Acked) Alarm to Normal
04/16/26 15:47:04                  Parameter Run 1 Meter temperature override was changed from Enabled to Disabled by CommDrivers (10000)
04/16/26 15:46:49                  User Administrator (Web: 10.0.1.51) failed to log in
04/16/26 15:46:48                  User administrator (Web: 10.0.1.51) has logged in
04/16/26 14:55:50                  Run 1 Meter temperature A input high fail changed from Alarm to (Unacked) Normal
04/16/26 14:55:50                  Run 1 Temperature alarm from High High to Normal [70]
04/16/26 14:55:48                  Run 1 Meter temperature A input high fail changed from Normal to Alarm
04/16/26 14:55:48                  Run 1 Temperature alarm from Normal to High High [70]
04/16/26 14:55:47                  Run 1 Temperature alarm from Low Low to Normal [0]
04/16/26 14:55:33                  Run 1 Meter temperature A input low fail changed from (Acked) Alarm to Normal
04/16/26 13:58:13                  User administrator (Web: 10.0.1.51) has been automatically logged off
04/16/26 12:58:12                  'Print snapshot report' executed by administrator (2000)
04/16/26 12:58:04                  User administrator has acknowledged all alarms
04/16/26 12:57:28                  Parameter DPA High alarm Limit was changed from 420 to 600 by administrator (2000)
04/16/26 12:57:23                  Parameter DPA High high alarm Limit was changed from 420 to 600 by administrator (2000)
04/16/26 12:53:50                  Parameter Run 1 Diff. pressure A HART full scale was changed from 420 to 600 by administrator (2000)
