                                                          Hourly Report

   Meter ID        45FT0555                                    Period start                16/04/26 00:00:00
   Flow computer   21JN112                                     Period end                  17/04/26 00:00:00
   Company         Equinor
   Location        Tot. Fuel Gas & Test Sep. Gas & Gas Lift
   Meter Type      Orifice                                     Orifice Diameter            48.000


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Diff. Press.    Flowtime
                   kPa(g)       deg C             kg/sm3       kg/m3       m3              m3              t               GJ              kPa             min
   01              4700.624     52.51             0.8530       40.43       104.20          4937.70         4211.80         224.70          14.288          60.0
   02              4700.934     51.90             0.8530       40.54       104.00          4940.60         4214.10         224.70          14.264          60.0
   03              4701.399     51.81             0.8530       40.56       103.60          4929.10         4204.40         224.30          14.189          60.0
   04              4701.330     51.79             0.8530       40.56       104.10          4946.70         4219.50         225.00          14.292          60.0
   05              4700.957     51.83             0.8530       40.55       104.00          4944.80         4217.70         225.00          14.283          60.0
   06              4701.163     51.89             0.8530       40.54       104.00          4945.60         4218.50         225.00          14.292          60.0
   07              4700.851     51.86             0.8530       40.55       104.00          4945.20         4218.20         225.00          14.289          60.0
   08              4700.992     51.85             0.8530       40.55       103.90          4939.60         4213.30         224.70          14.255          60.0
   09              4701.082     51.84             0.8530       40.55       104.60          4972.50         4241.50         226.20          14.448          60.0
   10              4711.390     51.85             0.8530       40.64       132.20          6295.60         5370.00         286.40          25.117          60.0
   11              4717.120     51.86             0.8530       40.69       151.60          7234.90         6171.10         329.10          30.545          60.0
   12              4717.120     51.86             0.8530       40.69       151.70          7234.80         6171.10         329.20          30.545          60.0
   13              4717.120     51.86             0.8530       40.69       151.70          7234.80         6171.10         329.10          30.545          60.0
   14              4717.120     51.86             0.8530       40.69       151.60          7234.90         6171.20         329.20          30.545          60.0
   15              4717.120     51.86             0.8530       40.69       151.70          7234.80         6171.10         329.10          30.545          60.0
   16              4715.049     51.95             0.8530       40.66       138.90          6620.00         5646.70         301.20          27.813          60.0
   17              4700.701     52.45             0.8530       40.44       90.30           4281.90         3652.30         194.80          10.736          60.0
   18              4700.610     52.37             0.8530       40.45       89.80           4261.00         3634.60         193.80          10.624          60.0
   19              4701.069     52.31             0.8530       40.47       91.00           4315.00         3680.60         196.30          10.892          60.0
   20              4701.137     52.35             0.8530       40.46       90.60           4296.00         3664.40         195.50          10.800          60.0
   21              4700.251     52.29             0.8530       40.46       90.80           4307.30         3673.90         195.90          10.854          60.0
   22              4700.082     52.24             0.8530       40.47       92.10           4373.90         3730.90         199.00          11.198          60.0
   23              4700.300     52.09             0.8530       40.50       96.80           4593.40         3918.00         209.00          12.336          60.0
   24              4700.419     52.24             0.8530       40.47       96.00           4555.10         3885.40         207.20          12.160          60.0
   DAILY                                                                   2703.20         128575.20       109671.40       5849.40                         1440.0

