generated_at;production_day;cod_cadastro_poco;well_operator_name;well_anp_name;subsea_tag;bank;production_status;oil_sm3;gas_1000sm3;water_sm3;filename;file_hash;source_file
2026-08-07T23:14:13;2026-07-17;86316029925;PE_2;7-BAC-1-SPS;18FT0506;B10;PRODUCAO_POSITIVA_OFICIAL;7349.593;2431.065;0.005;042_04028583_20260807231413.xml;58ec8bbb45aac0f454697d4742099829c968b36a6624622a2188e9f0f289f5a8;HISTORICO_FORNECIDO_20260812
2026-08-07T23:14:14;2026-07-17;86316030246;PW-104DA;7-BAC-4D-SPS;18FT1106;B15;PRODUCAO_POSITIVA_OFICIAL;8116.618;2684.778;0.005;042_04028583_20260807231414.xml;bc9d4d34b903054207d09a9c50f53838c62eef78763657afcee33a238462074e;HISTORICO_FORNECIDO_20260812
2026-08-07T23:14:15;2026-07-18;86316029925;PE_2;7-BAC-1-SPS;18FT0506;B10;PRODUCAO_POSITIVA_OFICIAL;8891.393;2941.055;0.005;042_04028583_20260807231415.xml;0ae7646579629e145f9b43b7e908c55e132872e3b57794527ae7bbbe29a13a97;HISTORICO_FORNECIDO_20260812
2026-08-07T23:14:16;2026-07-18;86316030246;PW-104DA;7-BAC-4D-SPS;18FT1106;B15;PRODUCAO_POSITIVA_OFICIAL;7713.472;2551.427;0.006;042_04028583_20260807231416.xml;8fa306a2c7001fb6e6681d029bf129548e2b9a1c67d83bea3d52c5bd6c884c81;HISTORICO_FORNECIDO_20260812
2026-08-07T23:16:38;2026-08-03;86316029925;PE_2;7-BAC-1-SPS;18FT0506;B10;PRODUCAO_POSITIVA_OFICIAL;5988.509;1980.852;0.005;042_04028583_20260807231638.xml;a901ec304044cd6f616483f3d4272d00808b415b9a73ae8e8f36d1b3ce42e06b;HISTORICO_FORNECIDO_20260812
2026-08-11T23:51:03;2026-08-08;86316030256;PE_4;7-BAC-5A-SPS;18FT1506;B05;PRODUCAO_POSITIVA_OFICIAL;4789.078;1584.109;3.018;042_04028583_20260811235103.xml;46a72d9932c9bb4f33eb7fc41cf865c5daa2c8413f34c5abb436adff65332cf2;HISTORICO_FORNECIDO_20260812
2026-08-11T23:51:07;2026-08-09;86316029925;PE_2;7-BAC-1-SPS;18FT0506;B10;PRODUCAO_POSITIVA_OFICIAL;498.078;164.752;0.034;042_04028583_20260811235107.xml;d6343444e28279d91f9793e1bb3ea071c679cc4b55487d1df910ac5235a5a378;HISTORICO_FORNECIDO_20260812
2026-08-11T23:51:08;2026-08-09;86316030246;PW-104DA;7-BAC-4D-SPS;18FT1106;B15;PRODUCAO_POSITIVA_OFICIAL;2586.415;855.522;0.111;042_04028583_20260811235108.xml;b5c47f9533ac42d717e321c50ceac8f022e8d14d0089b2c180233f026c4b7ec8;HISTORICO_FORNECIDO_20260812
2026-08-11T23:51:09;2026-08-10;86316030256;PE_4;7-BAC-5A-SPS;18FT1506;B05;PRODUCAO_POSITIVA_OFICIAL;2346.818;776.270;1.297;042_04028583_20260811235109.xml;258a468f74c7bab6192a6f503842814c6d8d2da65d8f7cff5ea78b961047a8f3;HISTORICO_FORNECIDO_20260812
