                                                          Hourly Report

   Meter ID        45FT0555                                    Period start                06/05/26 00:00:00
   Flow computer   21JN112                                     Period end                  07/05/26 00:00:00
   Company         Equinor
   Location        Tot. Fuel Gas & Test Sep. Gas & Gas Lift
   Meter Type      Orifice                                     Orifice Diameter            104.580


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Diff. Press.    Flowtime
                   kPa(g)       deg C             kg/sm3       kg/m3       m3              m3              t               GJ              kPa             min
   01              4670.915     49.11             0.8040       37.77       190.10          8928.80         7179.20         384.50          44.625          60.0
   02              4670.935     49.08             0.8040       37.78       190.10          8929.60         7179.90         384.50          44.625          60.0
   03              4670.773     49.09             0.8040       37.77       190.00          8929.30         7179.50         384.60          44.625          60.0
   04              4670.650     49.06             0.8040       37.78       190.10          8929.60         7179.80         384.50          44.625          60.0
   05              4670.662     49.13             0.8040       37.77       190.10          8928.40         7178.90         384.50          44.625          60.0
   06              4671.104     49.16             0.8040       37.76       190.10          8928.10         7178.60         384.40          44.625          60.0
   07              4670.276     49.18             0.8040       37.75       190.10          8927.00         7177.70         384.50          44.625          60.0
   08              4670.879     49.18             0.8040       37.76       190.10          8927.50         7178.20         384.40          44.625          60.0
   09              4671.198     49.32             0.8040       37.73       209.90          9848.30         7918.50         424.10          55.681          60.0
   10              4671.068     49.27             0.8040       37.74       227.00          10654.00        8566.30         458.80          63.750          60.0
   11              4669.931     49.12             0.8040       37.75       226.90          10655.90        8567.90         458.90          63.750          60.0
   12              4670.395     49.07             0.8040       37.76       227.00          10657.70        8569.20         458.90          63.750          60.0
   13              4603.831     44.36             0.8040       37.97       226.30          10685.20        8591.40         460.20          63.750          60.0
   14              4672.508     49.04             0.8040       37.79       226.80          10661.80        8572.70         459.10          63.750          60.0
   15              4634.586     48.24             0.8040       37.59       227.40          10632.90        8549.30         457.90          63.750          60.0
   16              4647.587     49.09             0.8040       37.57       241.50          11283.50        9072.40         485.90          57.755          60.0
   17              4658.514     49.02             0.8040       37.70       329.80          15463.60        12433.50        665.90          4.664           60.0
   18              4646.455     49.55             0.8040       37.51       331.10          15448.30        12421.20        665.20          4.679           60.0
   19              4651.346     47.62             0.8040       37.87       328.90          15490.40        12455.00        667.10          4.660           60.0
   20              4653.587     48.58             0.8040       37.73       330.50          15507.00        12468.30        667.70          4.687           60.0
   21              4650.334     48.62             0.8040       37.70       330.00          15472.10        12440.40        666.30          4.670           60.0
   22              4651.499     48.95             0.8040       37.65       331.40          15519.70        12478.50        668.30          4.705           60.0
   23              4649.518     48.82             0.8040       37.66       330.80          15491.00        12455.50        667.10          4.687           60.0
   24              4650.131     48.94             0.8040       37.64       330.80          15484.60        12450.40        666.80          4.673           60.1
   DAILY                                                                   5976.80         280384.30       225442.30       12074.10                        1440.1

