                                   ALARM AND EVENTS REPORT ON DEMAND

Company                            Equinor
Location                           Sales Oil Skid

System                             20JX101
Description                        FPSO Bacalhau
Flow computer                      21JN101A

Start date/time                    06/05/26 00:00:00
End date/time                      06/05/26 06:31:31

Amount                             107
05/06/26 04:36:03                  Run 1 BSW alarm from Low Low to Normal [0]
05/06/26 03:51:54                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/06/26 03:51:52                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/06/26 03:51:51                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 03:51:50                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 03:51:48                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/06/26 03:51:47                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/06/26 03:45:08                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 03:44:57                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 03:44:54                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 03:43:48                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/06/26 03:43:43                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/06/26 03:43:42                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 01:27:36                  Run 2 BSW alarm from Normal to Low Low [0]
05/06/26 01:27:36                  Run 1 BSW alarm from Normal to Low Low [0]
05/06/26 01:26:29                  Run 2 BSW alarm from Low Low to Normal [0]
05/06/26 01:26:29                  Run 1 BSW alarm from Low Low to Normal [0]
05/06/26 01:26:27                  Run 2 BSW alarm from Normal to Low Low [0]
05/06/26 01:26:27                  Run 1 BSW alarm from Normal to Low Low [0]
05/06/26 01:21:55                  User administrator (Web: 10.0.1.50) has been automatically logged off
05/06/26 01:20:51                  User administrator (Web: 10.0.1.50) has been automatically logged off
05/06/26 01:09:05                  Run 2 BSW alarm from Low Low to Normal [0]
05/06/26 01:09:05                  Run 1 BSW alarm from Low Low to Normal [0]
05/06/26 01:08:58                  Run 2 BSW alarm from Low Low to Normal [0]
05/06/26 01:08:58                  Run 1 BSW alarm from Low Low to Normal [0]
05/06/26 00:21:54                  User administrator (Web: 10.0.1.50) has logged in
05/06/26 00:20:50                  User administrator (Web: 10.0.1.50) has logged in

