                                                          Hourly Report

   Meter ID        43FT0227                                    Period start                01/05/26 00:00:00
   Flow computer   21JN111                                     Period end                  02/05/26 00:00:00
   Company         Equinor
   Location        Flare Gas
   Meter Type      Ultrassonic Meter


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Flowtime
                   kPa(a)       deg C             kg/sm3       kg/m3       m3              m3              Kg              GJ              min
   01              101.754      25.21             0.8864       0.87        147.80          145.80          129.20          6.90            60.0
   02              101.723      25.00             0.8864       0.87        116.70          115.20          102.10          5.40            60.0
   03              101.691      24.71             0.8864       0.88        118.60          117.10          103.80          5.50            60.0
   04              101.673      24.51             0.8864       0.88        116.90          115.60          102.40          5.50            60.0
   05              101.653      24.42             0.8864       0.88        124.90          123.40          109.40          5.80            60.0
   06              101.682      24.78             0.8864       0.88        142.90          141.10          125.10          6.70            60.0
   07              101.740      25.55             0.8864       0.87        144.50          142.40          126.20          6.80            60.0
   08              101.785      25.77             0.8864       0.87        132.90          130.80          116.00          6.10            60.0
   09              101.678      26.68             0.8864       0.87        143.00          140.30          124.30          6.70            60.0
   10              101.695      30.00             0.8864       0.86        152.50          148.00          131.20          7.00            60.0
   11              101.706      32.01             0.8864       0.85        182.50          175.90          155.90          8.30            60.0
   12              101.667      35.52             0.8864       0.84        224.90          214.20          189.90          10.10           60.0
   13              101.694      37.75             0.8864       0.84        236.00          223.20          197.80          10.60           60.0
   14              101.649      36.24             0.8864       0.84        240.40          228.40          202.50          10.80           60.0
   15              101.603      34.12             0.8864       0.85        240.20          229.60          203.50          10.90           60.0
   16              101.580      32.70             0.8864       0.85        245.50          235.80          209.00          11.10           60.0
   17              101.620      31.52             0.8864       0.86        227.00          219.00          194.10          10.40           60.0
   18              101.643      29.76             0.8864       0.86        171.30          166.20          147.40          7.80            60.0
   19              101.678      27.89             0.8864       0.87        190.60          186.20          165.10          8.80            60.0
   20              101.695      26.56             0.8864       0.87        195.70          192.10          170.20          9.10            60.0
   21              101.706      25.82             0.8864       0.87        189.60          186.50          165.40          8.90            60.0
   22              101.659      25.43             0.8864       0.87        194.30          191.40          169.50          9.00            60.0
   23              101.601      25.17             0.8864       0.87        194.80          191.90          170.20          9.10            60.0
   24              101.512      24.97             0.8864       0.87        202.90          199.90          177.10          9.40            60.0
   DAILY                                                                   4276.40         4160.00         3687.30         196.70          1440.0

