                                                          Hourly Report

   Meter ID        45FT0555                                    Period start                05/05/26 00:00:00
   Flow computer   21JN112                                     Period end                  06/05/26 00:00:00
   Company         Equinor
   Location        Tot. Fuel Gas & Test Sep. Gas & Gas Lift
   Meter Type      Orifice                                     Orifice Diameter            48.000


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Diff. Press.    Flowtime
                   kPa(g)       deg C             kg/sm3       kg/m3       m3              m3              t               GJ              kPa             min
   01              4670.852     48.87             0.8040       37.81       190.00          8933.40         7182.80         384.70          44.625          60.0
   02              4670.945     48.85             0.8040       37.81       190.00          8933.90         7183.30         384.70          44.625          60.0
   03              4670.339     48.82             0.8040       37.81       189.90          8933.80         7183.20         384.70          44.625          60.0
   04              4670.771     48.89             0.8040       37.81       190.00          8933.10         7182.60         384.70          44.625          60.0
   05              4670.489     48.87             0.8040       37.81       190.00          8933.10         7182.70         384.70          44.625          60.0
   06              4671.002     48.84             0.8040       37.82       190.00          8934.20         7183.50         384.70          44.625          60.0
   07              4670.462     48.84             0.8040       37.81       189.90          8933.50         7183.00         384.70          44.625          60.0
   08              4670.778     48.89             0.8040       37.81       190.00          8933.10         7182.60         384.70          44.625          60.0
   09              4670.195     48.88             0.8040       37.80       190.00          8932.60         7182.20         384.70          44.625          60.0
   10              4670.570     48.97             0.8040       37.79       190.10          8931.30         7181.20         384.60          44.625          60.0
   11              4670.645     49.01             0.8040       37.78       190.00          8930.60         7180.60         384.50          44.625          60.0
   12              4670.651     49.00             0.8040       37.79       190.00          8930.70         7180.70         384.60          44.625          60.0
   13              4670.838     49.02             0.8040       37.78       190.10          8930.60         7180.60         384.60          44.625          60.0
   14              4671.195     49.11             0.8040       37.77       190.00          8929.10         7179.50         384.50          44.625          60.0
   15              4671.963     48.99             0.8040       37.80       190.10          8932.30         7182.00         384.70          44.625          60.0
   16              4669.864     49.19             0.8040       37.75       190.10          8926.30         7177.10         384.40          44.625          60.0
   17              4671.939     49.15             0.8040       37.77       190.10          8929.20         7179.50         384.50          44.625          60.0
   18              4671.419     48.98             0.8040       37.80       190.00          8931.90         7181.70         384.60          44.625          60.0
   19              4670.465     49.05             0.8040       37.78       190.00          8929.70         7179.90         384.50          44.625          60.0
   20              4671.245     49.13             0.8040       37.77       190.10          8928.90         7179.30         384.50          44.625          60.0
   21              4670.965     49.06             0.8040       37.78       190.10          8930.00         7180.10         384.60          44.625          60.0
   22              4671.198     49.09             0.8040       37.78       190.00          8929.60         7179.80         384.50          44.625          60.0
   23              4671.152     49.11             0.8040       37.77       190.10          8929.20         7179.50         384.50          44.625          60.0
   24              4671.162     49.09             0.8040       37.78       189.90          8923.40         7174.80         384.30          44.625          60.0
   DAILY                                                                   4560.50         214343.50       172342.20       9230.20                         1440.0

