                                                          Hourly Report

   Meter ID        20FT0244                                    Period start                05/05/26 00:00:00
   Flow computer   21JN112                                     Period end                  06/05/26 00:00:00
   Company         Equinor
   Location        Tot. Fuel Gas & Test Sep. Gas & Gas Lift
   Meter Type      Orifice                                     Orifice Diameter            173.670


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Diff. Press.    Flowtime
                   kPa(g)       deg C             kg/sm3       kg/m3       m3              m3              t               GJ              kPa             min
   01              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   02              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   03              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   04              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   05              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   06              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   07              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   08              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   09              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   10              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   11              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   12              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   13              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   14              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   15              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   16              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   17              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   18              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   19              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   20              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   21              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   22              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   23              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   24              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   DAILY                                                                   0.00            0.00            0.00            0.00                            0.0

