                                                          Hourly Report

   Meter ID        43FT0102                                    Period start                16/04/26 00:00:00
   Flow computer   21JN111                                     Period end                  17/04/26 00:00:00
   Company         Equinor
   Location        Flare Gas
   Meter Type      Ultrassonic Meter


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Flowtime
                   kPa(a)       deg C             kg/sm3       kg/m3       m3              m3              Kg              GJ              min
   01              136.615      12.26             0.8809       1.22        21601.00        29962.30        26393.10        1381.10         60.0
   02              137.136      12.49             0.8809       1.23        21446.90        29837.90        26283.70        1375.40         60.0
   03              137.102      12.17             0.8809       1.23        21483.40        29915.40        26351.90        1378.90         60.0
   04              137.496      12.12             0.8809       1.23        22639.20        31621.50        27854.80        1457.50         60.0
   05              137.281      12.12             0.8809       1.23        22059.90        30764.40        27099.70        1418.10         60.0
   06              137.576      12.26             0.8809       1.23        24257.10        33884.10        29847.90        1561.80         60.0
   07              137.882      12.22             0.8809       1.23        21342.20        29883.80        26324.00        1377.50         60.0
   08              138.115      11.98             0.8809       1.24        21303.50        29905.60        26343.30        1378.50         60.0
   09              138.284      12.28             0.8809       1.24        23089.90        32417.80        28556.20        1494.20         60.0
   10              137.958      12.67             0.8809       1.23        22308.40        31203.00        27486.20        1438.30         60.0
   11              138.272      13.06             0.8809       1.23        21365.80        29911.80        26348.80        1378.80         60.0
   12              138.262      13.35             0.8809       1.23        21138.00        29560.30        26039.00        1362.50         60.0
   13              138.383      12.89             0.8809       1.23        21485.10        30121.60        26533.60        1388.50         60.0
   14              138.069      12.65             0.8809       1.23        21197.50        29675.80        26140.80        1367.80         60.0
   15              137.690      12.27             0.8809       1.23        21217.20        29661.70        26128.50        1367.30         60.0
   16              137.215      12.28             0.8809       1.23        21238.80        29587.70        26063.20        1363.80         60.0
   17              136.774      11.79             0.8809       1.23        21322.10        29659.80        26126.70        1367.10         60.0
   18              136.688      11.58             0.8809       1.23        21391.90        29759.90        26215.00        1371.80         60.0
   19              136.482      11.55             0.8809       1.22        23467.50        32601.40        28717.90        1502.70         60.0
   20              136.870      11.48             0.8809       1.23        22605.00        31500.90        27748.50        1452.00         60.0
   21              136.894      11.45             0.8809       1.23        22528.00        31402.30        27661.80        1447.50         60.0
   22              136.448      11.21             0.8809       1.22        21493.60        29888.10        26327.80        1377.60         60.0
   23              135.488      11.27             0.8809       1.22        21258.80        29346.60        25850.80        1352.70         60.0
   24              135.319      11.21             0.8809       1.21        21261.50        29319.70        25827.30        1351.50         60.0
   DAILY                                                                   524502.30       731393.40       644270.50       33712.90        1440.0

