                                                          Hourly Report

   Meter ID        43FT0227                                    Period start                16/04/26 00:00:00
   Flow computer   21JN111                                     Period end                  17/04/26 00:00:00
   Company         Equinor
   Location        Flare Gas
   Meter Type      Ultrassonic Meter


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Flowtime
                   kPa(a)       deg C             kg/sm3       kg/m3       m3              m3              Kg              GJ              min
   01              101.634      27.91             0.8864       0.87        3228.30         3152.10         2794.00         149.10          60.0
   02              101.607      28.16             0.8864       0.86        3257.90         3177.50         2816.50         150.30          60.0
   03              101.573      28.10             0.8864       0.86        3251.00         3170.40         2810.30         150.00          60.0
   04              101.531      28.17             0.8864       0.86        3261.60         3178.60         2817.40         150.30          60.0
   05              101.516      28.25             0.8864       0.86        3250.50         3166.50         2806.80         149.80          60.0
   06              101.540      28.20             0.8864       0.86        3226.70         3144.60         2787.30         148.80          60.0
   07              101.574      27.73             0.8864       0.87        3221.50         3145.50         2788.20         148.80          60.0
   08              101.576      28.10             0.8864       0.86        3243.50         3163.20         2803.80         149.60          60.0
   09              101.556      29.21             0.8864       0.86        3341.10         3245.70         2877.00         153.50          60.0
   10              101.558      30.20             0.8864       0.86        3359.80         3253.10         2883.50         153.90          60.0
   11              101.495      31.38             0.8864       0.85        3292.90         3173.80         2813.30         150.10          60.0
   12              101.462      32.25             0.8864       0.85        3295.50         3166.20         2806.50         149.80          60.0
   13              101.453      32.34             0.8864       0.85        3328.00         3196.20         2833.00         151.20          60.0
   14              101.390      32.79             0.8864       0.85        3317.60         3179.30         2818.20         150.40          60.0
   15              101.379      32.12             0.8864       0.85        3331.80         3199.90         2836.40         151.40          60.0
   16              101.366      31.44             0.8864       0.85        3297.10         3173.20         2812.60         150.10          60.0
   17              101.367      30.51             0.8864       0.86        3245.90         3133.70         2777.70         148.20          60.0
   18              101.378      29.48             0.8864       0.86        3230.50         3129.80         2774.30         148.00          60.0
   19              101.393      28.94             0.8864       0.86        3244.20         3149.30         2791.40         149.00          60.0
   20              101.400      28.69             0.8864       0.86        3237.90         3145.90         2788.60         148.80          60.0
   21              101.400      28.56             0.8864       0.86        3275.00         3183.40         2821.70         150.60          60.0
   22              101.419      28.42             0.8864       0.86        3263.00         3173.80         2813.30         150.10          60.0
   23              101.406      28.47             0.8864       0.86        3291.60         3200.70         2837.00         151.40          60.0
   24              101.377      28.37             0.8864       0.86        3218.20         3129.50         2774.00         148.10          60.0
   DAILY                                                                   78511.10        76131.90        67482.80        3601.30         1440.0

