                                                          Hourly Report

   Meter ID        20FT0116                                    Period start                06/05/26 00:00:00
   Flow computer   21JN113                                     Period end                  07/05/26 00:00:00
   Company         Equinor
   Location        Flare Pilot & LP Fuel Gas & HP Sep. Gas
   Meter Type      V-Cone                                      V-Cone Diameter             201.080


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Diff. Press.    Flowtime
                   kPa(g)       deg C             kg/sm3       kg/m3       m3              m3              Kg              GJ              kPa             min
   01              8559.671     66.60             0.7931       66.11       2949.30         245832.30       194970.90       10446.70        13.095          60.0
   02              8561.261     66.66             0.7931       66.10       2980.20         248401.40       197008.40       10555.80        13.392          60.0
   03              8562.538     66.74             0.7931       66.09       2998.70         249879.80       198181.00       10618.70        13.561          60.0
   04              8562.838     66.79             0.7931       66.08       3002.90         250179.00       198418.20       10631.40        13.598          60.0
   05              8562.833     66.82             0.7931       66.07       3002.00         250075.10       198335.90       10626.90        13.588          60.0
   06              8562.666     66.83             0.7931       66.06       3001.80         250036.90       198305.50       10625.30        13.588          60.0
   07              8562.659     66.84             0.7931       66.06       3002.00         250041.50       198309.20       10625.60        13.585          60.0
   08              8562.462     66.84             0.7931       66.06       3001.20         249968.60       198251.40       10622.40        13.573          60.0
   09              8562.015     66.85             0.7931       66.05       3001.30         249954.50       198240.20       10621.80        13.580          60.0
   10              8561.352     66.88             0.7931       66.04       3002.20         249971.50       198253.70       10622.60        13.577          60.0
   11              8560.661     66.91             0.7931       66.02       3003.20         250000.60       198276.70       10623.70        13.587          60.0
   12              8560.269     66.91             0.7931       66.02       3002.30         249917.20       198210.60       10620.30        13.579          60.0
   13              8558.945     66.91             0.7931       66.01       3012.80         250741.10       198864.10       10655.20        13.678          60.0
   14              8578.278     67.00             0.7931       66.14       3054.60         254742.50       202037.60       10825.30        14.115          60.0
   15              8567.001     67.02             0.7931       66.04       3046.40         253671.00       201187.70       10779.80        14.011          60.0
   16              8586.641     67.09             0.7931       66.18       3041.80         253832.70       201316.10       10786.60        13.999          60.0
   17              8566.433     67.08             0.7931       66.02       3051.00         253960.60       201417.50       10792.10        14.050          60.0
   18              8563.430     67.07             0.7931       65.99       3051.60         253921.70       201386.50       10790.40        14.050          60.0
   19              8569.537     67.08             0.7931       66.04       3049.90         253963.80       201420.00       10792.20        14.045          60.0
   20              8564.523     67.08             0.7931       66.00       3050.70         253879.10       201352.90       10788.60        14.043          60.0
   21              8563.361     67.06             0.7931       66.00       3050.00         253797.10       201287.70       10785.10        14.035          60.0
   22              8564.424     67.07             0.7931       66.00       3050.50         253871.40       201346.80       10788.30        14.042          60.0
   23              8563.336     67.05             0.7931       66.00       3049.20         253743.40       201245.20       10782.80        14.028          60.0
   24              8563.693     67.05             0.7931       66.00       3052.00         253994.20       201444.10       10793.50        14.020          60.1
   DAILY                                                                   72507.60        6038377.00      4789067.90      256601.10                       1440.1

