                                                          Hourly Report

   Meter ID        45FT0360                                    Period start                06/05/26 00:00:00
   Flow computer   21JN113                                     Period end                  07/05/26 00:00:00
   Company         Equinor
   Location        Flare Pilot & LP Fuel Gas & HP Sep. Gas
   Meter Type      Orifice                                     Orifice Diameter            12.640


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Diff. Press.    Flowtime
                   kPa(a)       deg C             kg/sm3       kg/m3       m3              m3              Kg              GJ              kPa             min
   01              652.734      25.74             0.7981       5.11        2.20            14.40           11.50           0.60            0.166           60.0
   02              652.678      25.75             0.7981       5.11        2.30            14.40           11.50           0.70            0.167           60.0
   03              652.643      25.81             0.7981       5.11        2.20            14.50           11.50           0.60            0.169           60.0
   04              652.618      25.87             0.7981       5.11        2.30            14.40           11.60           0.60            0.169           60.0
   05              652.640      25.85             0.7981       5.11        2.20            14.40           11.50           0.60            0.166           60.0
   06              652.670      25.74             0.7981       5.11        2.30            14.40           11.50           0.60            0.168           60.0
   07              652.708      25.69             0.7981       5.11        2.20            14.40           11.40           0.60            0.166           60.0
   08              652.728      25.93             0.7981       5.11        2.30            14.40           11.50           0.70            0.166           60.0
   09              652.788      26.40             0.7981       5.10        2.20            14.30           11.40           0.60            0.165           60.0
   10              652.791      26.91             0.7981       5.09        2.30            14.30           11.50           0.60            0.166           60.0
   11              652.728      27.42             0.7981       5.08        2.20            14.30           11.40           0.60            0.166           60.0
   12              652.662      28.82             0.7981       5.06        2.30            14.20           11.30           0.60            0.164           60.0
   13              635.871      31.12             0.7981       4.89        2.50            15.60           12.50           0.70            0.211           60.0
   14              658.563      33.73             0.7981       5.02        2.30            14.50           11.50           0.60            0.171           60.0
   15              650.061      35.32             0.7981       4.93        2.40            14.50           11.60           0.60            0.177           60.0
   16              648.773      35.28             0.7981       4.92        2.30            14.60           11.70           0.60            0.178           60.0
   17              657.368      34.44             0.7981       5.00        2.30            14.40           11.50           0.60            0.171           60.0
   18              651.500      31.36             0.7981       5.00        2.30            14.30           11.30           0.70            0.166           60.0
   19              651.074      28.26             0.7981       5.06        2.20            14.20           11.40           0.60            0.166           60.0
   20              653.436      26.91             0.7981       5.10        2.30            14.30           11.40           0.60            0.165           60.0
   21              652.691      26.30             0.7981       5.10        2.20            14.40           11.50           0.60            0.166           60.0
   22              652.504      26.05             0.7981       5.11        2.30            14.30           11.40           0.60            0.165           60.0
   23              652.401      25.94             0.7981       5.11        2.20            14.30           11.40           0.60            0.165           60.0
   24              652.668      25.88             0.7981       5.11        2.20            14.40           11.50           0.60            0.165           60.1
   DAILY                                                                   54.50           346.20          276.30          14.80                           1440.1

