                                                          Hourly Report

   Meter ID        45FT0627                                    Period start                06/05/26 00:00:00
   Flow computer   21JN113                                     Period end                  07/05/26 00:00:00
   Company         Equinor
   Location        Flare Pilot & LP Fuel Gas & HP Sep. Gas
   Meter Type      Orifice                                     Orifice Diameter            69.550


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Diff. Press.    Flowtime
                   kPa(g)       deg C             kg/sm3       kg/m3       m3              m3              Kg              GJ              kPa             min
   01              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   02              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   03              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   04              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   05              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   06              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   07              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   08              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   09              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   10              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   11              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   12              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   13              4646.598     41.77             0.8320       39.60       199.80          9508.10         7910.70         422.20          28.589          53.1
   14              4792.259     48.06             0.8320       39.83       25.40           1216.10         1011.80         54.00           1.232           52.7
   15              4726.995     48.16             0.8320       39.21       135.10          6366.10         5296.60         282.60          7.382           60.0
   16              4741.459     49.44             0.8320       39.12       73.70           3466.00         2883.80         153.90          3.284           60.0
   17              4756.135     49.00             0.8320       39.32       79.90           3775.00         3140.70         167.60          3.698           60.0
   18              4749.909     49.78             0.8320       39.13       102.20          4808.10         4000.30         213.50          2.806           60.0
   19              4755.499     47.89             0.8320       39.52       80.00           3798.10         3160.00         168.60          1.750           60.0
   20              4759.033     48.62             0.8320       39.42       79.70           3776.90         3142.50         167.70          1.546           60.0
   21              4755.691     48.81             0.8320       39.36       91.30           4321.00         3595.10         191.80          1.911           60.0
   22              4757.093     49.18             0.8320       39.30       85.30           4029.80         3352.80         178.90          1.645           60.0
   23              4754.907     49.05             0.8320       39.31       93.30           4408.10         3667.50         195.70          1.972           60.0
   24              4755.385     49.14             0.8320       39.29       94.30           4453.40         3705.20         197.80          2.013           60.1
   DAILY                                                                   1140.00         53926.70        44867.00        2394.30                         705.9

