                                                          Hourly Report

   Meter ID        45FT0360                                    Period start                05/05/26 00:00:00
   Flow computer   21JN113                                     Period end                  06/05/26 00:00:00
   Company         Equinor
   Location        Flare Pilot & LP Fuel Gas & HP Sep. Gas
   Meter Type      Orifice                                     Orifice Diameter            12.640


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Diff. Press.    Flowtime
                   kPa(a)       deg C             kg/sm3       kg/m3       m3              m3              Kg              GJ              kPa             min
   01              652.853      25.04             0.7981       5.13        2.20            14.40           11.40           0.60            0.164           60.0
   02              652.797      25.06             0.7981       5.13        2.30            14.30           11.50           0.70            0.166           60.0
   03              652.731      25.15             0.7981       5.12        2.20            14.40           11.50           0.60            0.167           60.0
   04              652.673      25.16             0.7981       5.12        2.20            14.50           11.50           0.60            0.167           60.0
   05              652.666      25.34             0.7981       5.12        2.30            14.40           11.50           0.60            0.167           60.0
   06              652.655      25.40             0.7981       5.12        2.20            14.40           11.50           0.60            0.167           60.0
   07              652.697      25.36             0.7981       5.12        2.30            14.30           11.40           0.60            0.164           60.0
   08              652.751      25.59             0.7981       5.12        2.10            13.90           11.10           0.60            0.156           60.0
   09              652.730      26.39             0.7981       5.10        2.20            14.10           11.30           0.60            0.159           60.0
   10              652.771      27.00             0.7981       5.09        2.20            14.00           11.20           0.60            0.159           60.0
   11              652.762      27.32             0.7981       5.09        2.30            14.10           11.20           0.60            0.160           60.0
   12              652.715      28.85             0.7981       5.06        2.20            14.00           11.10           0.60            0.159           60.0
   13              652.639      31.11             0.7981       5.02        2.10            13.70           11.00           0.60            0.154           60.0
   14              652.567      32.96             0.7981       4.99        2.20            13.40           10.70           0.60            0.148           60.0
   15              652.545      34.48             0.7981       4.96        2.10            13.40           10.70           0.60            0.149           60.0
   16              652.447      34.02             0.7981       4.97        2.20            13.40           10.70           0.50            0.150           60.0
   17              652.503      33.51             0.7981       4.98        2.20            13.60           10.90           0.60            0.153           60.0
   18              652.683      30.60             0.7981       5.03        2.10            13.60           10.80           0.60            0.150           60.0
   19              652.740      27.89             0.7981       5.08        2.20            13.80           11.00           0.60            0.155           60.0
   20              652.781      26.64             0.7981       5.10        2.20            13.90           11.10           0.60            0.155           60.0
   21              652.794      26.06             0.7981       5.11        2.20            14.10           11.30           0.60            0.161           60.0
   22              652.837      25.87             0.7981       5.11        2.20            14.30           11.40           0.60            0.164           60.0
   23              652.794      25.83             0.7981       5.11        2.30            14.30           11.40           0.60            0.165           60.0
   24              652.771      25.75             0.7981       5.11        2.20            14.30           11.40           0.60            0.165           60.0
   DAILY                                                                   52.90           336.60          268.60          14.40                           1440.0

