                                                          Hourly Report

   Meter ID        20FT0116                                    Period start                05/05/26 00:00:00
   Flow computer   21JN113                                     Period end                  06/05/26 00:00:00
   Company         Equinor
   Location        Flare Pilot & LP Fuel Gas & HP Sep. Gas
   Meter Type      V-Cone                                      V-Cone Diameter             201.080


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Diff. Press.    Flowtime
                   kPa(g)       deg C             kg/sm3       kg/m3       m3              m3              Kg              GJ              kPa             min
   01              8558.750     66.34             0.7931       66.18       2907.10         242593.50       192402.10       10309.00        12.728          60.0
   02              8558.592     66.34             0.7931       66.18       2904.10         242327.20       192191.00       10297.70        12.700          60.0
   03              8558.382     66.35             0.7931       66.18       2901.60         242114.40       192022.20       10288.60        12.678          60.0
   04              8558.805     66.36             0.7931       66.18       2903.30         242245.30       192125.90       10294.30        12.691          60.0
   05              8558.493     66.37             0.7931       66.17       2901.50         242087.50       192000.90       10287.50        12.673          60.0
   06              8558.538     66.37             0.7931       66.17       2903.70         242256.90       192135.20       10294.70        12.693          60.0
   07              8564.416     66.42             0.7931       66.20       2897.20         241845.80       191809.10       10277.20        12.641          60.0
   08              8583.194     66.43             0.7931       66.36       2895.20         242236.10       192118.70       10293.90        12.682          60.0
   09              8556.618     66.41             0.7931       66.14       2904.10         242185.10       192078.30       10291.60        12.689          60.0
   10              8556.421     66.43             0.7931       66.13       2904.90         242225.00       192109.90       10293.40        12.706          60.0
   11              8556.134     66.44             0.7931       66.13       2903.40         242082.50       191996.80       10287.30        12.683          60.0
   12              8556.054     66.47             0.7931       66.12       2905.20         242198.90       192089.20       10292.30        12.688          60.0
   13              8555.916     66.50             0.7931       66.11       2904.00         242059.40       191978.60       10286.30        12.678          60.0
   14              8555.333     66.50             0.7931       66.10       2903.60         242017.90       191945.60       10284.60        12.672          60.0
   15              8566.953     66.56             0.7931       66.18       2891.40         241270.80       191353.20       10252.80        12.603          60.0
   16              8556.718     66.46             0.7931       66.13       2911.40         242746.20       192523.20       10315.50        12.750          60.0
   17              8553.495     66.53             0.7931       66.08       2904.50         241995.90       191928.10       10283.60        12.673          60.0
   18              8557.764     66.54             0.7931       66.11       2900.50         241782.00       191758.60       10274.50        12.642          60.0
   19              8557.130     66.53             0.7931       66.11       2902.90         241965.80       191904.30       10282.40        12.662          60.0
   20              8556.922     66.53             0.7931       66.11       2902.10         241899.60       191851.80       10279.50        12.656          60.0
   21              8557.140     66.53             0.7931       66.11       2900.70         241793.30       191767.50       10275.00        12.643          60.0
   22              8556.654     66.52             0.7931       66.11       2899.90         241728.20       191715.90       10272.30        12.638          60.0
   23              8556.616     66.51             0.7931       66.11       2898.70         241628.90       191637.20       10268.00        12.624          60.0
   24              8559.603     66.54             0.7931       66.13       2925.40         243914.00       193449.40       10365.10        12.897          60.0
   DAILY                                                                   69676.40        5811200.20      4608892.70      246947.10                       1440.0

