                                                          Hourly Report

   Meter ID        45FT0627                                    Period start                05/05/26 00:00:00
   Flow computer   21JN113                                     Period end                  06/05/26 00:00:00
   Company         Equinor
   Location        Flare Pilot & LP Fuel Gas & HP Sep. Gas
   Meter Type      Orifice                                     Orifice Diameter            69.550


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Diff. Press.    Flowtime
                   kPa(g)       deg C             kg/sm3       kg/m3       m3              m3              Kg              GJ              kPa             min
   01              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   02              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   03              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   04              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   05              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   06              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   07              4771.249     49.43             0.8320       39.39       0.80            41.40           34.50           1.80            0.063           3.1
   08              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   09              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   10              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   11              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   12              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   13              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   14              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   15              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   16              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   17              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   18              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   19              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   20              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   21              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   22              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   23              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   24              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   DAILY                                                                   0.80            41.40           34.50           1.80                            3.1

